종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
068790,DMS,"11,550","50","0.43","11,550","11,500","289,553","3,324,702,150","11,550","11,600","11,400","500",원(KRW),"22,572,487","260,712,224,850",
004840,DRB동일,"10,750","-150","1.38","10,750","10,700","20,988","225,220,500","10,750","10,900","10,650","500",원(KRW),"19,000,000","204,250,000,000",
241520,DSC인베스트먼트,"5,990","-170","2.76","6,000","5,990","1,427,131","8,712,808,400","6,200","6,350","5,930","500",원(KRW),"17,500,000","104,825,000,000",
155660,DSR,"8,510","710","9.10","8,520","8,510","4,655,224","40,874,228,250","7,830","9,230","7,820","500",원(KRW),"16,000,000","136,160,000,000",
069730,DSR제강,"8,460","970","12.95","8,460","8,450","6,377,204","54,620,856,020","7,550","9,040","7,540","500",원(KRW),"14,400,000","121,824,000,000",
017940,E1,"60,000","1,200","2.04","60,100","60,000","16,775","1,000,366,200","58,800","60,100","58,500","5,000",원(KRW),"6,860,000","411,600,000,000",
037370,EG,"8,160","110","1.37","8,160","8,140","52,169","425,983,650","8,040","8,250","8,040","1,000",원(KRW),"7,500,000","61,200,000,000",
079190,EMW,"2,975","15","0.51","2,975","2,970","93,178","275,163,195","2,950","2,980","2,935","500",원(KRW),"28,562,357","84,973,012,075",
007700,F&F,"27,900","500","1.82","27,900","27,850","20,099","560,030,150","27,400","28,000","27,200","500",원(KRW),"15,400,000","429,660,000,000",
130500,GH신소재,"4,005","25","0.63","4,010","4,005","135,295","545,343,785","3,960","4,065","3,960","500",원(KRW),"11,000,000","44,055,000,000",
114090,GKL,"22,300","400","1.83","22,300","22,250","228,412","5,045,316,150","21,900","22,400","21,750","500",원(KRW),"61,855,670","1,379,381,441,000",
032860,GMR 머티리얼즈,"786","30","0.00","786","785","739,338","579,238,759","788","799","773","500",원(KRW),"63,758,840","50,114,448,240",
900290,GRT,"3,535","130","3.82","3,540","3,535","706,180","2,502,373,390","3,550","3,620","3,450","0",중국위안(CNY),"67,375,000","238,170,625,000",
078930,GS,"59,100","-100","0.17","59,100","59,000","163,755","9,627,457,600","58,500","59,500","58,400","5,000",원(KRW),"92,915,378","5,491,298,839,800",
083450,GST,"7,030","-100","1.40","7,030","7,000","196,558","1,373,771,670","7,080","7,130","6,890","500",원(KRW),"9,317,745","65,503,747,350",
006360,GS건설,"29,650","-1,250","4.05","29,650","29,600","1,960,881","58,302,717,100","30,600","30,600","29,500","5,000",원(KRW),"71,000,000","2,105,150,000,000",
001250,GS글로벌,"3,280","60","1.86","3,285","3,280","738,190","2,410,708,325","3,200","3,310","3,190","2,500",원(KRW),"82,533,764","270,710,745,920",
007070,GS리테일,"52,600","100","0.19","52,600","52,500","104,619","5,502,680,300","52,300","53,000","52,200","1,000",원(KRW),"77,000,000","4,050,200,000,000",
078935,GS우,"37,700","100","0.27","37,700","37,650","2,516","94,675,900","37,600","37,800","37,500","5,000",원(KRW),"1,784,826","67,287,940,200",
028150,GS홈쇼핑,"217,600","6,100","2.88","217,600","216,600","16,212","3,494,869,500","209,900","218,100","208,400","5,000",원(KRW),"6,562,500","1,428,000,000,000",
078150,HB테크놀러지,"5,690","180","3.27","5,690","5,680","1,811,082","10,218,926,710","5,550","5,700","5,530","500",원(KRW),"78,660,142","447,576,207,980",
001500,HMC투자증권,"11,150","150","1.36","11,150","11,100","50,819","562,671,300","11,100","11,200","10,950","5,000",원(KRW),"29,337,111","327,108,787,650",
036640,HRS,"3,790","60","1.61","3,790","3,785","93,088","352,254,410","3,770","3,805","3,730","500",원(KRW),"16,354,800","61,984,692,000",
225430,IBKS제3호스팩,"2,085","35","1.71","2,100","2,085","35,478","74,349,030","2,090","2,100","2,065","100",원(KRW),"4,500,000","9,382,500,000",
254120,IBKS제5호스팩,"2,005","30","0.00","2,040","2,005","25,989","52,520,445","2,005","2,030","2,005","100",원(KRW),"4,500,000","9,022,500,000",
252500,IBKS지엠비스팩,"2,145","30","0.00","0","0","0","0","0","0","0","100",원(KRW),"5,315,000","11,400,675,000",
003560,IHQ,"1,760","5","0.28","1,765","1,760","112,338","197,742,770","1,750","1,780","1,745","500",원(KRW),"143,556,056","252,658,658,560",
095340,ISC,"22,550","2,050","10.00","22,550","22,500","310,039","6,795,448,600","20,750","22,600","20,700","500",원(KRW),"13,602,498","306,736,329,900",
099520,ITX엠투엠,"1,630","-35","2.10","1,640","1,630","111,794","181,099,110","1,645","1,655","1,600","500",원(KRW),"14,113,383","23,004,814,290",
175330,JB금융지주,"6,150","60","0.99","6,150","6,140","375,278","2,302,164,910","6,140","6,170","6,070","5,000",원(KRW),"155,439,423","955,952,451,450",
234080,JW생명과학,"27,850","100","0.36","27,950","27,850","18,330","509,951,300","27,850","28,000","27,700","5,000",원(KRW),"7,917,277","220,496,164,450",
067290,JW신약,"7,970","310","4.05","7,970","7,960","198,175","1,558,085,860","7,720","7,970","7,710","500",원(KRW),"39,044,958","311,188,315,260",
001060,JW중외제약,"43,200","350","0.82","43,200","43,150","53,687","2,314,572,100","42,900","43,300","42,800","2,500",원(KRW),"19,117,112","825,859,238,400",
001067,JW중외제약2우B,"35,100","-100","0.28","35,150","34,550","12","418,150","35,200","35,250","34,600","2,500",원(KRW),"84,437","2,963,738,700",
001065,JW중외제약우,"21,750","-600","2.68","22,250","21,750","184","4,041,950","22,350","22,400","21,750","2,500",원(KRW),"160,908","3,499,749,000",
096760,JW홀딩스,"7,890","100","1.28","7,890","7,880","79,989","625,379,530","7,720","7,890","7,720","500",원(KRW),"61,593,412","485,972,020,680",
035900,JYP Ent.,"6,970","20","0.29","6,980","6,970","341,822","2,378,125,890","6,990","7,030","6,850","500",원(KRW),"34,043,012","237,279,793,640",
105560,KB금융,"51,900","600","1.17","52,000","51,900","1,015,103","52,581,804,700","51,200","52,300","51,200","5,000",원(KRW),"418,111,537","21,699,988,770,300",
002550,KB손해보험,"32,700","30","0.00","32,750","32,700","786,114","25,707,557,700","32,700","32,750","32,700","500",원(KRW),"66,500,000","2,174,550,000,000",
024120,KB오토시스,"8,350","30","0.00","8,350","8,250","6,486","53,941,800","8,550","8,550","8,210","500",원(KRW),"11,500,000","96,025,000,000",
021960,KB캐피탈,"27,300","50","0.18","27,300","27,250","226,301","6,162,391,750","27,200","27,350","27,200","5,000",원(KRW),"21,492,128","586,735,094,400",
002380,KCC,"341,000","-500","0.15","341,000","340,500","28,018","9,545,607,500","339,500","343,000","339,000","5,000",원(KRW),"10,556,513","3,599,770,933,000",
021320,KCC건설,"8,440","80","0.96","8,440","8,420","7,007","58,945,530","8,390","8,440","8,340","5,000",원(KRW),"21,400,000","180,616,000,000",
036670,KCI,"8,170","50","0.62","8,170","8,150","2,661","21,628,670","8,120","8,170","8,080","500",원(KRW),"11,270,000","92,075,900,000",
009070,KCTC,"3,110","20","0.65","3,110","3,100","6,585","20,442,565","3,095","3,125","3,085","500",원(KRW),"30,000,000","93,300,000,000",
009440,KC그린홀딩스,"7,060","30","0.43","7,060","7,050","45,618","320,531,660","7,080","7,080","7,000","500",원(KRW),"22,434,980","158,390,958,800",
112190,KC산업,"3,500","200","6.06","3,500","3,095","5,621","18,335,220","2,905","3,500","2,905","500",원(KRW),"5,026,666","17,593,331,000",
119650,KC코트렐,"6,190","80","1.31","6,200","6,190","50,261","310,570,640","6,100","6,210","6,100","500",원(KRW),"13,000,000","80,470,000,000",
044180,KD건설,"282","30","0.00","283","282","18,408,319","5,255,167,132","287","291","280","100",원(KRW),"252,486,194","71,201,106,708",
092220,KEC,"1,040","10","0.97","1,040","1,035","380,078","393,711,210","1,040","1,050","1,025","500",원(KRW),"89,047,384","92,609,279,360",
151860,KG ETS,"3,325","15","0.45","3,325","3,315","67,206","223,223,145","3,310","3,340","3,300","500",원(KRW),"36,000,000","119,700,000,000",
109070,KGP,"359","14","4.06","360","359","4,156,891","1,536,249,983","351","392","349","500",원(KRW),"65,814,325","23,627,342,675",
046440,KG모빌리언스,"7,410","50","0.68","7,410","7,400","83,425","615,952,920","7,350","7,410","7,350","500",원(KRW),"29,711,421","220,161,629,610",
035600,KG이니시스,"11,650","200","1.75","11,650","11,600","153,948","1,787,674,900","11,400","11,800","11,400","500",원(KRW),"26,580,081","309,657,943,650",
001390,KG케미칼,"13,550","30","0.00","13,550","13,500","5,198","70,251,500","13,550","13,600","13,450","5,000",원(KRW),"11,576,968","156,867,916,400",
060720,KH바텍,"12,900","300","2.38","12,900","12,850","247,475","3,136,671,250","12,550","12,950","12,500","500",원(KRW),"20,000,000","258,000,000,000",
001940,KISCO홀딩스,"63,900","-300","0.47","64,000","63,900","2,030","129,493,100","64,600","64,600","63,500","5,000",원(KRW),"3,695,276","236,128,136,400",
083470,KJ프리텍,"3,375","35","1.05","3,395","3,375","161,111","542,508,465","3,340","3,420","3,325","500",원(KRW),"21,273,036","71,796,496,500",
122450,KMH,"8,080","-20","0.25","8,080","8,070","28,390","228,095,180","8,140","8,140","8,010","500",원(KRW),"13,473,695","108,867,455,600",
052900,KMH하이텍,"1,385","5","0.36","1,385","1,380","151,304","209,943,575","1,380","1,405","1,370","500",원(KRW),"46,790,982","64,805,510,070",
058400,KNN,"1,080","-5","0.46","1,080","1,075","388,066","419,598,445","1,090","1,100","1,075","500",원(KRW),"132,429,720","143,024,097,600",
083420,KPX그린케미칼,"4,325","-35","0.80","4,325","4,320","15,655","67,898,865","4,360","4,425","4,315","500",원(KRW),"20,000,000","86,500,000,000",
114450,KPX생명과학,"4,500","60","1.35","4,500","4,490","14,857","66,448,335","4,460","4,500","4,440","500",원(KRW),"15,000,000","67,500,000,000",
025000,KPX케미칼,"61,400","700","1.15","61,400","61,000","5,493","334,172,700","60,900","61,400","60,400","5,000",원(KRW),"4,840,000","297,176,000,000",
092230,KPX홀딩스,"62,100","-500","0.80","62,500","62,100","855","53,105,700","62,100","62,500","61,900","5,000",원(KRW),"4,224,646","262,350,516,600",
000040,KR모터스,"739","29","4.08","739","738","420,366","307,739,407","716","749","706","500",원(KRW),"176,129,474","130,159,681,286",
044450,KSS해운,"8,440","40","0.48","8,490","8,440","15,634","131,625,570","8,490","8,500","8,350","500",원(KRW),"23,185,880","195,688,827,200",
030200,KT,"32,000","-450","1.39","32,000","31,950","550,324","17,878,203,875","32,200","32,400","31,900","5,000",원(KRW),"261,111,808","8,355,577,856,000",
033780,KT&G,"104,000","30","0.00","104,500","104,000","436,433","45,395,496,000","102,500","105,000","102,500","5,000",원(KRW),"137,292,497","14,278,419,688,000",
030210,KTB투자증권,"3,550","160","4.72","3,550","3,545","608,738","2,140,165,990","3,435","3,550","3,420","5,000",원(KRW),"60,314,092","214,115,026,600",
036030,KTH,"7,000","30","0.00","7,010","7,000","17,522","122,621,550","6,930","7,020","6,930","1,000",원(KRW),"35,715,022","250,005,154,000",
058850,KTcs,"2,555","5","0.20","2,560","2,555","68,476","174,744,495","2,540","2,565","2,540","500",원(KRW),"42,685,000","109,060,175,000",
060370,KT서브마린,"4,900","-10","0.20","4,900","4,895","42,765","210,436,290","4,910","4,950","4,900","1,000",원(KRW),"21,900,000","107,310,000,000",
093050,LF,"25,600","-100","0.39","25,600","25,500","205,639","5,239,319,150","25,700","26,050","25,300","5,000",원(KRW),"29,240,000","748,544,000,000",
003550,LG,"68,500","100","0.15","68,600","68,500","183,787","12,549,615,140","67,900","68,700","67,900","5,000",원(KRW),"172,557,131","11,820,163,473,500",
034220,LG디스플레이,"30,000","400","1.35","30,050","30,000","1,852,356","55,553,039,300","29,650","30,200","29,650","5,000",원(KRW),"357,815,700","10,734,471,000,000",
001120,LG상사,"33,100","350","1.07","33,100","33,050","228,857","7,576,434,900","32,700","33,250","32,700","5,000",원(KRW),"38,760,000","1,282,956,000,000",
