종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
2460,화성산업,"15,000",-200,1.32,"15,000","14,950","131,910","1,981,636,950","15,350","15,500","14,800","5,000",원(KRW),"12,450,800","186,762,000,000",
13520,화승알앤에이,"41,050",30,0,0,0,0,0,0,0,0,"5,000",원(KRW),"6,456,121","265,023,767,050",
241590,화승엔터프라이즈,"17,350",-200,1.14,"17,350","17,300","77,642","1,338,215,150","17,550","17,750","17,050",500,원(KRW),"26,929,479","467,226,460,650",
6060,화승인더,"10,350",430,4.33,"10,350","10,300","674,448","6,874,759,800","9,830","10,400","9,830",500,원(KRW),"55,320,000","572,562,000,000",
10690,화신,"6,130",-20,0.33,"6,140","6,130","44,152","269,385,950","6,150","6,160","6,070",500,원(KRW),"34,920,410","214,062,113,300",
133820,화인베스틸,"2,450",15,0.62,"2,455","2,450","59,320","145,663,730","2,410","2,490","2,410",500,원(KRW),"32,100,000","78,645,000,000",
10660,화천기계,"21,600",150,0.7,"21,600","21,550","1,197","25,797,600","21,600","21,600","21,500","5,000",원(KRW),"2,200,000","47,520,000,000",
850,화천기공,"50,900",-400,0.78,"50,900","50,700","2,097","106,930,300","51,100","51,500","50,400","5,000",원(KRW),"2,200,000","111,980,000,000",
16580,환인제약,"16,950",200,1.19,"16,950","16,850","53,860","907,861,650","16,650","17,050","16,650",500,원(KRW),"18,600,070","315,271,186,500",
32560,황금에스티,"8,450",-130,1.52,"8,460","8,450","29,003","245,039,760","8,470","8,570","8,390",500,원(KRW),"14,000,000","118,300,000,000",
4800,효성,"144,000","-1,000",0.69,"144,000","143,500","91,202","13,177,516,500","143,000","147,000","143,000","5,000",원(KRW),"35,117,455","5,056,913,520,000",
94280,효성ITX,"16,300",550,3.49,"16,300","16,250","44,705","719,529,300","15,600","16,300","15,600",500,원(KRW),"11,558,200","188,398,660,000",
93370,후성,"7,430",20,0.27,"7,440","7,430","1,071,097","8,005,546,740","7,450","7,550","7,360",500,원(KRW),"92,399,753","686,530,164,790",
81660,휠라코리아,"67,800",-800,1.17,"67,900","67,800","37,640","2,553,611,200","69,100","69,100","67,500","5,000",원(KRW),"12,223,014","828,720,349,200",
5870,휴니드,"11,950",30,0,"11,950","11,900","41,930","497,773,100","11,900","12,050","11,800","5,000",원(KRW),"14,116,015","168,686,379,250",
79980,휴비스,"7,510",30,0.4,"7,510","7,500","15,449","115,352,100","7,480","7,520","7,440","5,000",원(KRW),"34,500,000","259,095,000,000",
5010,휴스틸,"15,900",-300,1.85,"16,100","15,900","7,121","113,461,950","16,200","16,200","15,850","5,000",원(KRW),"6,918,617","110,006,010,300",
69260,휴켐스,"23,100",30,0,"23,150","23,100","100,523","2,321,474,800","22,900","23,250","22,900","1,000",원(KRW),"40,878,588","944,295,382,800",
540,흥국화재,"4,035",-25,0.62,"4,035","4,025","78,562","316,755,040","4,060","4,100","3,980","5,000",원(KRW),"64,242,645","259,219,072,575",
3280,흥아해운,"1,700",30,1.8,"1,705","1,700","1,205,917","2,047,525,285","1,675","1,710","1,675",500,원(KRW),"127,713,430","217,112,831,00",
